"id","questions","answers"
"1","What is the main purpose of documentation in IT?","To record problems, fixes, and system details so future work is faster and consistent."
"2","Why do organizations use ticketing systems?","To track issues, prioritize work, and keep a history of support requests."
"3","What is an SLA (service level agreement) used for?","To define expected response/resolution times and service expectations."
"4","Why is change management important?","It prevents unexpected downtime by planning, approving, and tracking system changes."
"5","What is the purpose of a backup schedule?","To ensure data is saved regularly so it can be restored after loss or failure."
"6","What is the main goal of disaster recovery planning?","To restore services and data quickly after major failures or disasters."
"7","Why is ESD protection used when working with components?","To prevent static electricity from damaging sensitive electronics."
"8","What is the purpose of using a wrist strap when building PCs?","To safely discharge static electricity and protect components."
"9","Why should you verify a user’s identity before resetting passwords?","To prevent unauthorized access and account takeovers."
"10","What is the purpose of acceptable use policies?","To explain what users can and cannot do with company devices and networks."
"11","Why is asset tagging important?","It helps track and manage devices for inventory, repairs, and ownership."
"12","What is the purpose of a standard operating procedure (SOP)?","To ensure tasks are done the same safe and correct way every time."
"13","Why should you keep work areas clean and organized during repairs?","To prevent lost screws/parts, reduce mistakes, and improve safety."
"14","What is the purpose of labeling cables?","To make troubleshooting and future changes faster and less confusing."
"15","Why should you follow the principle of least privilege in operations?","To reduce risk by limiting what accounts can change or access."
"16","What is the function of a chain of custody for devices?","To track who handled equipment, especially when sensitive data is involved."
"17","Why is it important to communicate clearly with a user during support?","It sets expectations, reduces frustration, and helps gather accurate info."
"18","What is the purpose of a maintenance window?","A planned time to do updates/repairs when it will impact users the least."
"19","Why should you test a fix before closing a ticket?","To confirm the problem is solved and the system works normally."
"20","What is “professional conduct” in IT support?","Being respectful, protecting privacy, and following policies while helping users."
