"id","questions","answers"
"1","If an app is frozen, what is a common first fix?","Close it and reopen it, or use Task Manager/Force Quit."
"2","If an app won’t open after an update, what is a good next step?","Restart the device to clear temporary issues and reload services."
"3","If a program crashes repeatedly, what is a likely fix?","Update or reinstall the program to replace damaged files."
"4","If a program is slow, what system check helps?","Check CPU/RAM/storage usage to see if resources are maxed out."
"5","If you see “low disk space,” what is a function-based fix?","Delete unnecessary files or uninstall apps to free storage."
"6","If a program can’t save files, what is a common cause?","No permission to the folder or the drive is full or read-only."
"7","If a website won’t load in one browser, what is a good test?","Try another browser or private/incognito mode to compare."
"8","If audio works in one app but not another, what should you check?","That the app’s volume and output device settings are correct."
"9","If an app can’t connect to the internet but others can, what’s a likely cause?","The app may be blocked by firewall settings or needs permission/network access."
"10","If you get a “file type not supported” message, what should you do?","Install or choose a compatible application for that file type."
"11","If text looks strange or unreadable in an app, what could fix it?","Reset the app’s display settings or update fonts/graphics driver."
"12","If an app shows missing DLL/components, what is a likely fix?","Repair/reinstall the app or required runtime components."
"13","If software behaves differently after a settings change, what is a quick fix?","Restore default settings or undo the recent change."
"14","If an application won’t install, what is a basic requirement check?","Verify OS version, available storage, and required permissions."
"15","If printing from one program fails but not others, what should you check?","That the correct printer is selected inside that program."
"16","If an app shows constant pop-ups/ads, what might be happening?","You may have adware or unwanted browser extensions installed."
"17","If you forget a program password, what is a safe approach?","Use the official password reset method instead of guessing endlessly."
"18","If an app’s camera/mic won’t work, what should you check?","OS privacy permissions for camera/microphone access."
"19","If a program won’t update, what is a good step?","Check internet connection and available storage, then try again."
"20","What is a clean reinstall used for?","To remove corrupted settings/files by uninstalling and installing fresh."
